省,stock,GDP,DMSP_sum,baidu_index,scale,city,year,location_x,location_y
浙江省,12.1824,1090,43425,28,2,舟山市,2015,20581,3386.5
安徽省,30.9036,1540,27434,34,2,安庆市,2014,20026.6,3396.7
安徽省,18.8037,1150,38391,25,2,蚌埠市,2014,20090.8,3682.74
安徽省,29.8465,883.6299,32013,19,2,亳州市,2014,19982.1,3713.01
安徽省,8.731,517.169,12830,10,2,池州市,2014,20112.8,3368.71
安徽省,20.8604,1210,68180,25,2,滁州市,2014,20167.9,3624.56
安徽省,48.4019,1190,50213,49,2,阜阳市,2014,19940.3,3653.34
安徽省,97.5744,5180,112382,142,2,合肥市,2014,20102.6,3533.06
安徽省,15.6716,759.637,35509,17,2,淮北市,2014,20032.6,3748.35
安徽省,15.7088,789.3187,53039,21,2,淮南市,2014,20042.6,3608.87
安徽省,12.5581,507.1697,8690,13,2,黄山市,2014,20183.8,3330.86
安徽省,34.3169,1100,35413,35,2,六安市,2014,19996.3,3515.83
安徽省,38.2184,2390,56951,48,2,马鞍山市,2014,20199.6,3525.44
安徽省,25.1331,1140,52090,25,2,宿州市,2014,20075.4,3765.4
安徽省,7.8107,716.31,19679,19,2,铜陵市,2014,20127.5,3436.69
安徽省,31.814,2310,66115,50,2,芜湖市,2014,20181.1,3470.98
安徽省,20.8437,917.63,32170,27,2,宣城市,2014,20253.4,3422.55
甘肃省,16.29,447.6423,14622,5,2,白银市,2014,18929.4,4072.41
甘肃省,16.62,290.1643,14509,5,2,定西市,2014,18902.7,3907.36
甘肃省,4.29,243.0618,12761,13,2,嘉峪关市,2014,18403.5,4489.57
甘肃省,5.03,256.1027,10326,2,2,金昌市,2014,18717.2,4293.65
甘肃省,12.19,610.5496,21809,7,2,酒泉市,2014,18223.8,4566.89
甘肃省,52.42,2000,59301,95,2,兰州市,2014,18838.8,4050.22
甘肃省,9.75,262.5279,13573,8,2,陇南市,2014,18963.2,3733.81
甘肃省,12.86,350.5533,12765,5,2,平凉市,2014,19104.1,3917.4
甘肃省,18.29,668.8607,48999,9,2,庆阳市,2014,19193.4,4008.84
甘肃省,15.45,522.8228,21170,7,2,天水市,2014,19017.3,3848.13
甘肃省,12.19,405.9679,16450,28,2,武威市,2014,18803.2,4256.22
甘肃省,11.3,361.7771,12288,13,2,张掖市,2014,18530.4,4373.98
广东省,18.6567,850.2208,37125,19,2,潮州市,2014,20090.3,2643.57
广东省,155.9588,5880,136694,116,2,东莞市,2014,19795,2540.18
广东省,153.846,7440,158327,113,2,佛山市,2014,19699.4,2546.56
广东省,222.7715,16700,239139,196,2,广州市,2014,19759.7,2583.4
广东省,14.4802,768.9506,32645,17,2,河源市,2014,19902.8,2665.82
广东省,47.0906,3000,138359,84,2,惠州市,2014,19858.7,2574.86
广东省,45.7034,2080,111168,63,2,江门市,2014,19672.4,2464.33
广东省,25.2984,1780,68481,36,2,揭阳市,2014,20024.1,2591.03
广东省,29.2012,2350,51812,32,2,茂名市,2014,19495.2,2434.87
广东省,21.8704,885.8389,31906,34,2,梅州市,2014,20016.5,2687.15
广东省,27.9611,1200,74651,23,2,清远市,2014,19690.5,2691.32
广东省,45.5842,1720,73620,67,2,汕头市,2014,20072.9,2592.23
广东省,5.9312,716.9931,33054,12,2,汕尾市,2014,19971.4,2537.84
广东省,17.5403,1110,39740,34,2,韶关市,2014,19780.6,2748.95
广东省,311.1488,16000,114817,175,2,深圳市,2014,19822.6,2508.67
广东省,18.3092,1170,41808,29,2,阳江市,2014,19580,2437.05
广东省,14.1199,664.0048,29250,16,2,云浮市,2014,19581.5,2524.39
广东省,27.888,2260,69638,32,2,湛江市,2014,19413.2,2331.53
广东省,26.5419,1850,66826,51,2,肇庆市,2014,19623.1,2604.55
广东省,63.9769,2820,86006,66,2,中山市,2014,19746.3,2493.33
广东省,34.5636,1870,67610,64,2,珠海市,2014,19743.7,2452.52
广西壮族自治区,17.1169,917.9154,36653,13,2,百色市,2014,19020.2,2661.66
广西壮族自治区,13.8492,856.0135,26123,34,2,北海市,2014,19327.9,2397.3
广西壮族自治区,8.0101,649.7236,13982,0,2,崇左市,2014,19116.4,2494.2
广西壮族自治区,7.9751,588.938,24135,13,2,防城港市,2014,19191.2,2422.59
广西壮族自治区,16.2104,805.3951,22069,13,2,贵港市,2014,19397.5,2579.1
广西壮族自治区,36.3009,1830,35998,46,2,桂林市,2014,19450.9,2805.33
广西壮族自治区,15.4906,601.3922,18355,15,2,河池市,2014,19180.1,2730.16
广西壮族自治区,9.5506,448.3807,12242,7,2,贺州市,2014,19536.6,2695.14
广西壮族自治区,8.3539,551.2357,17078,4,2,来宾市,2014,19338.2,2640.05
广西壮族自治区,44.3272,2210,43937,62,2,柳州市,2014,19335.5,2761.01
广西壮族自治区,88.9943,3150,90128,122,2,南宁市,2014,19240,2553.1
广西壮族自治区,70.27,854.9638,27854,18,2,钦州市,2014,19295.2,2454.37
广西壮族自治区,62.6247,1060,21391,30,2,梧州市,2014,19499.1,2597.7
广西壮族自治区,29.1698,1340,32101,31,2,玉林市,2014,19415.8,2482.93
河南省,47.2911,1790,63598,80,2,安阳市,2014,19803,3977.06
河南省,15.7689,682.1975,24615,31,2,鹤壁市,2014,19799.5,3959.86
河南省,33.9463,1840,50750,67,2,焦作市,2014,19694.3,3889.16
河南省,34.6522,1490,40155,47,2,开封市,2014,19824.3,3836.43
河南省,71.2686,3280,80706,104,2,洛阳市,2014,19594.9,3796.5
河南省,18.5137,941.1601,19754,37,2,漯河市,2014,19769,3729.23
河南省,58.8105,2680,64115,73,2,南阳市,2014,19620.1,3658.4
河南省,41.0474,1640,63173,62,2,平顶山市,2014,19686.3,3742.79
河南省,43.1983,1250,44030,43,2,濮阳市,2014,19887.1,3972.78
河南省,23.0923,1240,33754,34,2,三门峡市,2014,19509.6,3803.63
河南省,54.8982,1700,63067,60,2,商丘市,2014,19932.9,3805.76
河南省,58.63,1920,84133,81,2,新乡市,2014,19781.3,3908.24
河南省,35.4089,1760,28912,46,2,信阳市,2014,19866.9,3557.54
河南省,40.9142,2090,50419,68,2,许昌市,2014,19750.2,3775.01
河南省,222.2679,6780,167808,181,2,郑州市,2014,19726.7,3835.85
河南省,50.817,1990,44036,71,2,周口市,2014,19859.6,3739.52
河南省,34.23,1690,45820,46,2,驻马店市,2014,19794.8,3648.67
湖南省,81.4286,2510,30312,34,2,常德市,2014,19550.6,3242.5
湖南省,68.0085,1870,39828,33,2,郴州市,2014,19714.2,2857.98
湖南省,69.3789,2400,31183,68,2,衡阳市,2014,19656.6,2965.76
湖南省,68.7872,1180,20193,31,2,怀化市,2014,19408.2,3048.26
湖南省,75.4906,1210,23092,31,2,娄底市,2014,19560.5,3069.69
湖南省,72.9493,1260,23568,31,2,邵阳市,2014,19487.3,2978
湖南省,50.1968,1570,30615,36,2,湘潭市,2014,19658.1,3069.73
湖南省,60.4501,1250,11495,27,2,益阳市,2014,19592.8,3162.56
湖南省,63.4588,1300,19500,32,2,永州市,2014,19573.2,2851.69
湖南省,70.8635,2670,39910,41,2,岳阳市,2014,19719.6,3218.66
湖南省,26.5167,410.0187,6592,10,2,张家界市,2014,19454.1,3252.88
湖南省,186.1169,7820,100015,152,2,长沙市,2014,19711.3,3125.61
湖南省,70.0432,2160,26868,47,2,株洲市,2014,19749.8,3003.07
吉林省,18.9307,686.1811,16637,9,2,白城市,2014,20441.1,5093.88
吉林省,8.6816,675.2889,12696,11,2,白山市,2014,20849.7,4789.62
吉林省,42.7166,2380,51842,61,2,吉林市,2014,20780.4,4950.43
吉林省,9.4015,690.3093,13087,7,2,辽源市,2014,20670.9,4842.06
吉林省,29.7615,1210,22672,27,2,四平市,2014,20583.6,4904.39
吉林省,32.0817,1600,28159,29,2,松原市,2014,20566,5052.08
吉林省,15.1863,1010,18398,20,2,通化市,2014,20740.8,4755.87
吉林省,114.459,5340,119921,116,2,长春市,2014,20664,5009.78
江西省,19.7933,1040,19057,19,2,抚州市,2014,20037.4,3055.85
江西省,47.0386,1840,48611,62,2,赣州市,2014,19928.9,2851.41
江西省,22.0995,1240,24884,22,2,吉安市,2014,19879.8,2990.39
江西省,13.6202,738.2137,11834,18,2,景德镇市,2014,20109.8,3259.61
江西省,33.6504,1780,38904,48,2,九江市,2014,19932.5,3253.39
江西省,61.8086,3670,54452,123,2,南昌市,2014,19991,3180.76
江西省,12.6724,864.9524,10710,14,2,萍乡市,2014,19786.9,3047.75
江西省,30.7811,1550,29919,31,2,上饶市,2014,20133,3201.26
江西省,10.8364,900.2683,10988,15,2,新余市,2014,19879.6,3087.27
江西省,34.8204,1520,33693,32,2,宜春市,2014,19889.8,3138.8
辽宁省,38.2184,2390,56951,48,2,鞍山市,2014,20199.6,3525.44
辽宁省,11.5275,1170,32794,21,2,本溪市,2014,20639.1,4655.98
辽宁省,28.3594,993.5232,37240,18,2,朝阳市,2014,20252.8,4636.65
辽宁省,114.9344,7660,117263,114,2,大连市,2014,20462.5,4443.8
辽宁省,19.487,1020,26855,18,2,丹东市,2014,20636.4,4576.71
辽宁省,20.3218,1280,36133,32,2,抚顺市,2014,20635.5,4724.33
辽宁省,19.8151,606.1578,19787,22,2,阜新市,2014,20404.1,4741.21
辽宁省,22.9912,721.5505,36937,23,2,葫芦岛市,2014,20279.4,4538.99
辽宁省,32.4452,1360,35092,30,2,锦州市,2014,20387.1,4646.25
辽宁省,17.5267,1010,56744,19,2,辽阳市,2014,20528.5,4633.68
辽宁省,21.9783,1300,57081,29,2,盘锦市,2014,20424.8,4606.54
辽宁省,145.5314,7100,140507,120,2,沈阳市,2014,20504.8,4733.78
辽宁省,19.045,867.2909,32766,24,2,铁岭市,2014,20580.9,4807.97
辽宁省,26.4511,1550,63361,25,2,营口市,2014,20473.3,4536.13
山东省,60.4683,2280,97317,69,2,滨州市,2014,20105,4178.27
山东省,69.5216,2600,60889,67,2,德州市,2014,20001.1,4138.96
山东省,53.2119,3430,104304,78,2,东营市,2014,20174.4,4194.97
山东省,59.7545,2220,76235,83,2,菏泽市,2014,19927.8,3901.37
山东省,138.1099,5770,131956,150,2,济南市,2014,20056.2,4074.14
山东省,82.7603,3800,122273,106,2,济宁市,2014,20021.6,3930.64
山东省,65.2428,2520,67954,80,2,聊城市,2014,19937.7,4047.45
山东省,141.9713,3570,146173,97,2,临沂市,2014,20162.7,3933.18
山东省,172.3204,8690,172456,130,2,青岛市,2014,20321,4074.13
山东省,40.0383,1610,49954,52,2,日照市,2014,20238.8,3969.32
山东省,50.4375,3000,56185,80,2,泰安市,2014,20043.6,4002.63
山东省,52.6348,2790,54184,63,2,威海市,2014,20478.8,4166.66
山东省,169.1177,4790,170858,105,2,潍坊市,2014,20223.6,4077.1
山东省,115.4701,6000,136361,95,2,烟台市,2014,20370.7,4168.97
山东省,41.7844,1980,56795,58,2,枣庄市,2014,20084.7,3883.96
山东省,71.9549,4030,89980,91,2,淄博市,2014,20131.6,4076.05
陕西省,9.3639,689.437,12873,33,2,安康市,2014,19305.8,3627.6
陕西省,20.4682,1640,34851,36,2,宝鸡市,2014,19150.5,3812.16
陕西省,17.4218,991.05,30519,33,2,汉中市,2014,19136.1,3669.6
陕西省,6.6634,576.267,8017,14,2,商洛市,2014,19398,3725.19
陕西省,6.9349,325.363,11205,6,2,铜川市,2014,19320.8,3898.09
陕西省,39.4396,1420,51044,43,2,渭南市,2014,19395,3869.45
陕西省,192.4402,5490,131523,161,2,西安市,2014,19296.1,3777.79
陕西省,27.0589,2080,69392,55,2,咸阳市,2014,19261.1,3853.75
陕西省,24.6119,1390,146164,21,2,延安市,2014,19349.1,4035.19
陕西省,50.9566,2920,158205,51,2,榆林市,2014,19373.1,4212.54
四川省,11.8,456.6596,7673,10,2,巴中市,2014,19125.5,3550.54
四川省,312.8,10100,205899,162,2,成都市,2014,18821.4,3413.99
四川省,18.1,1350,20128,39,2,达州市,2014,19180.4,3476.26
四川省,32,1520,45588,42,2,德阳市,2014,18873.3,3464.01
四川省,12,919.6124,16867,22,2,广安市,2014,19083.2,3375.39
四川省,14,566.192,16149,19,2,广元市,2014,19008,3582.89
四川省,22.3,1210,29522,30,2,乐山市,2014,18776.3,3256.09
四川省,21,1260,19268,44,2,泸州市,2014,18977.1,3158.64
四川省,19,944.8913,20811,20,2,眉山市,2014,18799.1,3334.21
四川省,37.8,1580,40050,62,2,绵阳市,2014,18903.7,3542.29
四川省,27.7,1430,28258,38,2,南充市,2014,19042.6,3462.55
四川省,13.8,1160,18229,31,2,内江市,2014,18909.8,3295.84
四川省,12.8,870.8501,27740,15,2,攀枝花市,2014,18575.9,3000.15
四川省,13.3,809.554,20212,15,2,遂宁市,2014,18969.6,3403.17
四川省,11.8,462.4143,13333,18,2,雅安市,2014,18693.3,3339.59
四川省,19.2,1440,21225,34,2,宜宾市,2014,18876.6,3178.58
四川省,13.3,1200,12213,13,2,资阳市,2014,18932.3,3345.92
四川省,13.8,1070,14635,23,2,自贡市,2014,18885.5,3257.7
云南省,66.33,500.9758,10985,5,2,保山市,2014,18279.7,2818.04
云南省,199.06,3710,116366,117,2,昆明市,2014,18680.4,2833.74
云南省,25.95,261.8385,12675,4,2,丽江市,2014,18456.2,3024.58
云南省,70.2,465.1215,10956,4,2,临沧市,2014,18341.5,2695.25
云南省,86.19,476.9455,10795,0,2,普洱市,2014,18443.1,2602.51
云南省,105.96,1650,48672,24,2,曲靖市,2014,18790.2,2862.76
云南省,79.48,1180,33114,17,2,玉溪市,2014,18603.2,2698.98
云南省,65.06,670.3372,18262,13,2,昭通市,2014,18808.1,3079.62
浙江省,218.4,9210,200143,213,2,杭州市,2014,20319.5,3339.4
浙江省,47.148,1960,85551,58,2,湖州市,2014,20350.9,3436.52
浙江省,79.1861,3350,146764,87,2,嘉兴市,2014,20439.8,3430.15
浙江省,114.9667,3210,128406,87,2,金华市,2014,20373.2,3255.63
浙江省,25.6824,1050,38491,40,2,丽水市,2014,20337.4,3150.06
浙江省,159.7218,7610,246415,121,2,宁波市,2014,20516.8,3336.54
浙江省,24.4756,1120,32807,34,2,衢州市,2014,20249.5,3226.34
浙江省,85.0681,4270,121011,77,2,绍兴市,2014,20434.6,3329.88
浙江省,103.9522,3390,137830,107,2,台州市,2014,20492.9,3224.87
浙江省,140.9532,4300,146013,132,2,温州市,2014,20434.2,3123.18
浙江省,11.0052,1020,42156,26,2,舟山市,2014,20581,3386.5
